,meanBC,meanBA,meanH,medoBC,medoBA,medoH,slate
meanBC,0.001127751664594363,0.3021438801477873,0.33066219566605703,1.418976967489884,1.5757032795586607,1.4470488003318371,2.1107979535948282
meanBA,0.3021438801477873,0.0007669031118331374,0.07479643528363376,1.4355448986265478,1.559056220617412,1.450226563417919,2.169162235188026
meanH,0.33066219566605703,0.07479643528363376,0.0005849507713948929,1.4368267032522999,1.552451163439678,1.4470195278318716,2.188801556450182
medoBC,1.418976967489884,1.4355448986265478,1.4368267032522999,0.32083154415155846,0.9438982907087299,0.7009427392346917,2.419342069939771
medoBA,1.5757032795586607,1.559056220617412,1.552451163439678,0.9438982907087299,0.20806209011909113,0.8867837465788407,2.5931728165315517
medoH,1.4470488003318371,1.450226563417919,1.4470195278318716,0.7009427392346917,0.8867837465788407,0.2680496563643545,2.5216716996297057
slate,2.1107979535948282,2.169162235188026,2.188801556450182,2.419342069939771,2.5931728165315517,2.5216716996297057,0.0
