,meanBC,meanBA,meanH,medoBC,medoBA,medoH,slate
meanBC,0.0,0.09252336448598131,0.09532710280373832,0.2719626168224299,0.3186915887850467,0.28130841121495326,0.34766355140186916
meanBA,0.09252336448598131,0.0009345794392523365,0.03364485981308411,0.28317757009345795,0.29813084112149535,0.27850467289719627,0.35887850467289717
meanH,0.09532710280373832,0.03364485981308411,0.0,0.28598130841121494,0.29158878504672897,0.2738317757009346,0.36074766355140186
medoBC,0.2719626168224299,0.28317757009345795,0.28598130841121494,0.08598130841121496,0.3186915887850467,0.2504672897196262,0.3766355140186916
medoBA,0.3186915887850467,0.29813084112149535,0.29158878504672897,0.3186915887850467,0.05327102803738318,0.2803738317757009,0.44018691588785047
medoH,0.28130841121495326,0.27850467289719627,0.2738317757009346,0.2504672897196262,0.2803738317757009,0.06448598130841121,0.4074766355140187
slate,0.34766355140186916,0.35887850467289717,0.36074766355140186,0.3766355140186916,0.44018691588785047,0.4074766355140187,0.0
