,meanBC,meanBA,meanH,medoBC,medoBA,medoH,slate
meanBC,0.03551401869158879,0.9728971962616823,0.9766355140186916,1.0,1.0,0.9990654205607477,0.9981308411214953
meanBA,0.9728971962616823,0.025233644859813085,0.8878504672897196,1.0,1.0,1.0,0.9981308411214953
meanH,0.9766355140186916,0.8878504672897196,0.027102803738317756,1.0,1.0,0.9990654205607477,0.9981308411214953
medoBC,1.0,1.0,1.0,0.08598130841121496,1.0,0.9925233644859813,0.9990654205607477
medoBA,1.0,1.0,1.0,1.0,0.05327102803738318,1.0,1.0
medoH,0.9990654205607477,1.0,0.9990654205607477,0.9925233644859813,1.0,0.06448598130841121,1.0
slate,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9990654205607477,1.0,1.0,0.0
