,meanBC,meanBA,meanH,medoBC,medoBA,medoH,slate
meanBC,4.291340307491827e-05,0.01560754238158912,0.01707632406291904,0.06995203516081575,0.08342740703339485,0.07004675066002042,0.16002364561536883
meanBA,0.01560754238158912,2.960521460091103e-05,0.004205096481791149,0.07115060863923976,0.08128817349093302,0.06984607895347109,0.16213623842769603
meanH,0.01707632406291904,0.004205096481791149,1.8764116762889967e-05,0.07080916499659717,0.08074684626391136,0.06936536785696701,0.1632684320517889
medoBC,0.06995203516081575,0.07115060863923976,0.07080916499659717,0.023395029725293694,0.0626861064837387,0.04011930282459145,0.17471128186243734
medoBA,0.08342740703339485,0.08128817349093302,0.08074684626391136,0.0626861064837387,0.016270063233874272,0.05902948081359966,0.17917608539188462
medoH,0.07004675066002042,0.06984607895347109,0.06936536785696701,0.04011930282459145,0.05902948081359966,0.01986367158942841,0.17034767279156787
slate,0.16002364561536883,0.16213623842769603,0.1632684320517889,0.17471128186243734,0.17917608539188462,0.17034767279156787,0.0
