,filename,num_cands,parties,kmeans_sil,kmeans_strong,kmeans_weak,s_slates,s_slates_p,s_portion,s_dist,s_sil,w_slates,w_slates_p,w_portion,w_dist,w_sil
264,scot-elex/7_cands\stirling_2017_ward7.csv,7,"{1: 'SNP', 2: 'Lab', 3: 'LD', 4: 'Con', 5: 'SNP', 6: 'Gr', 7: 'Lab'}",0.4973345131880113,0.05709391949757351,0.3064516129032258,"{0: (1, 5), 1: (2, 3, 4, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Lab', 'LD', 'Con', 'Gr', 'Lab')}",0.4093634027976021,0.17195261204681708,0.4828641699757452,"{0: (4,), 1: (1, 2, 3, 5, 6, 7)}","{0: ('Con',), 1: ('SNP', 'Lab', 'LD', 'SNP', 'Gr', 'Lab')}",0.8863831001998287,0.03292416024360072,0.3382522151218043
265,scot-elex/7_cands\stirling_2022_ward4.csv,7,"{1: 'LD', 2: 'LabCo', 3: 'SNP', 4: 'SFP', 5: 'Con', 6: 'Gr', 7: 'SNP'}",0.4760849197254504,0.1875737318128195,0.1875737318128195,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('LD', 'LabCo', 'SNP', 'SFP', 'Gr', 'SNP')}",0.2715296893432953,0.19162078909424574,0.4062371440947445,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('LD', 'LabCo', 'SNP', 'SFP', 'Gr', 'SNP')}",0.8611875737318129,0.033949403591558534,0.4062371440947445
266,scot-elex/7_cands\stirling_2022_ward5.csv,7,"{1: 'Con', 2: 'SNP', 3: 'SNP', 4: 'LD', 5: 'Con', 6: 'Lab', 7: 'SFP'}",0.530075073019019,0.027974568574023615,0.1477747502270663,"{0: (1, 5), 1: (2, 3, 4, 6, 7)}","{0: ('Con', 'Con'), 1: ('SNP', 'SNP', 'LD', 'Lab', 'SFP')}",0.35240690281562215,0.17534968210717525,0.5238450633403221,"{0: (2, 3), 1: (1, 4, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Con', 'LD', 'Con', 'Lab', 'SFP')}",0.8477747502270663,0.04334724564969794,0.5142557764606478
267,scot-elex/7_cands\west_dunbartonshire_2012_ward1.csv,7,"{1: 'SNP', 2: 'SNP', 3: 'Ind', 4: 'Soc', 5: 'Lab', 6: 'Lab', 7: 'Con'}",0.510677878984457,0.0675236806495264,0.4500676589986468,"{0: (5, 6), 1: (1, 2, 3, 4, 7)}","{0: ('Lab', 'Lab'), 1: ('SNP', 'SNP', 'Ind', 'Soc', 'Con')}",0.40108254397834914,0.17886332882273348,0.4844935140685354,"{0: (7,), 1: (1, 2, 3, 4, 5, 6)}","{0: ('Con',), 1: ('SNP', 'SNP', 'Ind', 'Soc', 'Lab', 'Lab')}",0.876319350473613,0.03793414524131707,0.2700230786714001
268,scot-elex/7_cands\west_dunbartonshire_2012_ward2.csv,7,"{1: 'Soc', 2: 'Con', 3: 'Lab', 4: 'SNP', 5: 'SNP', 6: 'Lab', 7: 'Ind'}",0.4450790044823565,0.20525387178984514,0.39649088414036465,"{0: (3,), 1: (1, 2, 4, 5, 6, 7)}","{0: ('Lab',), 1: ('Soc', 'Con', 'SNP', 'SNP', 'Lab', 'Ind')}",0.3218976671240933,0.19617068548650596,0.3973162287575288,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('Soc', 'Lab', 'SNP', 'SNP', 'Lab', 'Ind')}",0.8806116447755342,0.035744625236881676,0.23054072220821178
269,scot-elex/7_cands\west_dunbartonshire_2012_ward4.csv,7,"{1: 'Con', 2: 'SNP', 3: 'SNP', 4: 'Soc', 5: 'Ind', 6: 'Lab', 7: 'Lab'}",0.583051937270511,0.0636185682326622,0.36339485458612975,"{0: (6, 7), 1: (1, 2, 3, 4, 5)}","{0: ('Lab', 'Lab'), 1: ('Con', 'SNP', 'SNP', 'Soc', 'Ind')}",0.5234899328859061,0.1400447427293063,0.5626487415772746,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('SNP', 'SNP', 'Soc', 'Ind', 'Lab', 'Lab')}",0.9026845637583892,0.03020134228187918,0.30520012542540703
270,scot-elex/7_cands\west_dunbartonshire_2012_ward5.csv,7,"{1: 'Ind', 2: 'SNP', 3: 'Con', 4: 'Lab', 5: 'SNP', 6: 'Lab', 7: 'Comm'}",0.5214205068861384,0.08187006145741879,0.44600526777875327,"{0: (4, 6), 1: (1, 2, 3, 5, 7)}","{0: ('Lab', 'Lab'), 1: ('Ind', 'SNP', 'Con', 'SNP', 'Comm')}",0.4027655838454785,0.17963125548727002,0.48998658689032176,"{0: (3,), 1: (1, 2, 4, 5, 6, 7)}","{0: ('Con',), 1: ('Ind', 'SNP', 'Lab', 'SNP', 'Lab', 'Comm')}",0.8953028972783144,0.029923909862452452,0.26044248449825885
271,scot-elex/7_cands\west_dunbartonshire_2017_ward1.csv,7,"{1: 'SNP', 2: 'Con', 3: 'SNP', 4: 'Ind', 5: 'WDuns', 6: 'Lab', 7: 'Lab'}",0.4882790542911483,0.03379152348224513,0.32646048109965636,"{0: (1, 3), 1: (2, 4, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Con', 'Ind', 'WDuns', 'Lab', 'Lab')}",0.3402061855670103,0.18940435280641443,0.4776543097529887,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('SNP', 'SNP', 'Ind', 'WDuns', 'Lab', 'Lab')}",0.8710194730813288,0.03833524245895379,0.29991008980573525
272,scot-elex/7_cands\west_dunbartonshire_2017_ward3.csv,7,"{1: 'WDuns', 2: 'SNP', 3: 'Lab', 4: 'SNP', 5: 'Ind', 6: 'Lab', 7: 'Con'}",0.4760112340458767,0.037488570557756784,0.37275220969216705,"{0: (2, 4), 1: (1, 3, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('WDuns', 'Lab', 'Ind', 'Lab', 'Con')}",0.34882657726302957,0.18304632733922604,0.46503176440832855,"{0: (7,), 1: (1, 2, 3, 4, 5, 6)}","{0: ('Con',), 1: ('WDuns', 'SNP', 'Lab', 'SNP', 'Ind', 'Lab')}",0.8654373666565072,0.04010464289342679,0.27658965249382306
273,scot-elex/7_cands\west_dunbartonshire_2017_ward5.csv,7,"{1: 'Ind', 2: 'WDuns', 3: 'SNP', 4: 'SNP', 5: 'Con', 6: 'Lab', 7: 'Lab'}",0.5017184477594626,0.0414991961414791,0.3315916398713826,"{0: (3, 4), 1: (1, 2, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Ind', 'WDuns', 'Con', 'Lab', 'Lab')}",0.4571945337620579,0.15659163987138247,0.4928639109160262,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('Ind', 'WDuns', 'SNP', 'SNP', 'Lab', 'Lab')}",0.8754019292604501,0.038752679528403035,0.2963237208916965
274,scot-elex/7_cands\west_dunbartonshire_2022_ward6.csv,7,"{1: 'SFP', 2: 'Lab', 3: 'SNP', 4: 'Lab', 5: 'Con', 6: 'SNP', 7: 'SNP'}",0.6141211769122734,0.03492333901192504,0.31601362862010224,"{0: (3, 6, 7), 1: (1, 2, 4, 5)}","{0: ('SNP', 'SNP', 'SNP'), 1: ('SFP', 'Lab', 'Lab', 'Con')}",0.4537904599659284,0.14728847245883014,0.6110333134904111,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('SFP', 'Lab', 'SNP', 'Lab', 'SNP', 'SNP')}",0.8539182282793867,0.04390261215218626,0.29411675226196177
275,scot-elex/7_cands\west_lothian_2012_ward4.csv,7,"{1: 'Con', 2: 'Lab', 3: 'SNP', 4: 'SNP', 5: 'Lab', 6: 'Ind', 7: 'SNP'}",0.5767443651681693,0.0826048951048951,0.47115384615384615,"{0: (2, 5), 1: (1, 3, 4, 6, 7)}","{0: ('Lab', 'Lab'), 1: ('Con', 'SNP', 'SNP', 'Ind', 'SNP')}",0.36946386946386944,0.16139277389277384,0.5413021401342482,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('Con',), 1: ('Lab', 'SNP', 'SNP', 'Lab', 'Ind', 'SNP')}",0.8859265734265734,0.03537781662781662,0.2166582728616733
276,scot-elex/7_cands\west_lothian_2012_ward5.csv,7,"{1: 'SNP', 2: 'SNP', 3: 'Ind', 4: 'SNP', 5: 'Lab', 6: 'Con', 7: 'Lab'}",0.5710947767456508,0.09529806884970612,0.45927791771620485,"{0: (5, 7), 1: (1, 2, 3, 4, 6)}","{0: ('Lab', 'Lab'), 1: ('SNP', 'SNP', 'Ind', 'SNP', 'Con')}",0.35852225020990763,0.16253568429890872,0.5373642629586909,"{0: (6,), 1: (1, 2, 3, 4, 5, 7)}","{0: ('Con',), 1: ('SNP', 'SNP', 'Ind', 'SNP', 'Lab', 'Lab')}",0.892191435768262,0.0338091239854464,0.2360687803496695
277,scot-elex/7_cands\west_lothian_2017_ward1.csv,7,"{1: 'Lab', 2: 'UKIP', 3: 'SNP', 4: 'Con', 5: 'Gr', 6: 'LD', 7: 'SNP'}",0.5011205230181981,0.15010351966873706,0.4365079365079365,"{0: (4,), 1: (1, 2, 3, 5, 6, 7)}","{0: ('Con',), 1: ('Lab', 'UKIP', 'SNP', 'Gr', 'LD', 'SNP')}",0.4386473429951691,0.14811364159190263,0.4286503245204511,"{0: (2,), 1: (1, 3, 4, 5, 6, 7)}","{0: ('UKIP',), 1: ('Lab', 'SNP', 'Con', 'Gr', 'LD', 'SNP')}",0.8975845410628019,0.02923855532551182,0.1231171484572176
278,scot-elex/7_cands\west_lothian_2017_ward6.csv,7,"{1: 'Gr', 2: 'LD', 3: 'SNP', 4: 'Lab', 5: 'Con', 6: 'SNP', 7: 'Lab'}",0.5202448328934692,0.16099212886692293,0.4271462566355482,"{0: (4, 7), 1: (1, 2, 3, 5, 6)}","{0: ('Lab', 'Lab'), 1: ('Gr', 'LD', 'SNP', 'Con', 'SNP')}",0.3844041735310269,0.1841479040820063,0.44927990925604183,"{0: (5,), 1: (1, 2, 3, 4, 6, 7)}","{0: ('Con',), 1: ('Gr', 'LD', 'SNP', 'Lab', 'SNP', 'Lab')}",0.8627127951674904,0.04179632680456404,0.28229495500134216
279,scot-elex/7_cands\west_lothian_2017_ward7.csv,7,"{1: 'SNP', 2: 'SNP', 3: 'Con', 4: 'LD', 5: 'SNP', 6: 'Lab', 7: 'Lab'}",0.5736893148584402,0.021112652180613346,0.3233934350439205,"{0: (1, 2, 5), 1: (3, 4, 6, 7)}","{0: ('SNP', 'SNP', 'SNP'), 1: ('Con', 'LD', 'Lab', 'Lab')}",0.38542148250886116,0.16620434581599622,0.5726334499737626,"{0: (3,), 1: (1, 2, 4, 5, 6, 7)}","{0: ('Con',), 1: ('SNP', 'SNP', 'LD', 'SNP', 'Lab', 'Lab')}",0.8653105255047002,0.044125956747315995,0.3166580490291491
280,scot-elex/7_cands\west_lothian_2022_ward7.csv,7,"{1: 'SNP', 2: 'SNP', 3: 'Con', 4: 'LD', 5: 'LabCo', 6: 'Gr', 7: 'LabCo'}",0.5276285624272835,0.03691329856584094,0.03691329856584094,"{0: (1, 2), 1: (3, 4, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Con', 'LD', 'LabCo', 'Gr', 'LabCo')}",0.3767926988265971,0.16971968709256838,0.5163358315301023,"{0: (1, 2), 1: (3, 4, 5, 6, 7)}","{0: ('SNP', 'SNP'), 1: ('Con', 'LD', 'LabCo', 'Gr', 'LabCo')}",0.8547913950456323,0.04264307961341857,0.5163358315301023
281,scot-elex/7_cands\west_lothian_2022_ward9.csv,7,"{1: 'Ind', 2: 'Gr', 3: 'ISP', 4: 'SNP', 5: 'LD', 6: 'Lab', 7: 'Con'}",0.37141284905247435,0.3660578386605784,0.3159246575342466,"{0: (1,), 1: (2, 3, 4, 5, 6, 7)}","{0: ('Ind',), 1: ('Gr', 'ISP', 'SNP', 'LD', 'Lab', 'Con')}",0.496765601217656,0.14467592592592587,0.3143438814442457,"{0: (7,), 1: (1, 2, 3, 4, 5, 6)}","{0: ('Con',), 1: ('Ind', 'Gr', 'ISP', 'SNP', 'LD', 'Lab')}",0.786910197869102,0.05311390157280564,0.2913029153222063
